date,open,high,low,close,volume,premium_open,premium_high,premium_low,coinbase_premium_index,premium_close_time,premium_trades,oi
2025-03-28,87191.2,87470.0,83531.7,84380.8,222284.56,-0.0004689,0.00087414,-0.0012794,-0.00044161,1743206399999,17279.0,70732.302
2025-03-29,84380.8,84589.7,81601.0,82604.7,135513.705,-0.000443,6.393e-05,-0.00136943,-0.00049887,1743292799999,17280.0,73855.534
2025-03-30,82604.8,83490.0,81501.4,82352.8,109565.925,-0.00051917,0.00011,-0.00131129,-0.00040032,1743379199999,17280.0,71042.954
2025-03-31,82353.1,83895.8,81222.0,82517.5,212064.576,-0.00025584,0.00041353,-0.00154486,-0.0004008,1743465599999,17277.0,69934.069
2025-04-01,82517.5,85595.5,82383.3,85120.9,197263.176,-0.00040142,0.00019907,-0.00116886,-0.00043941,1743551999999,17280.0,68841.849
2025-04-02,85121.0,88500.0,82300.0,82485.1,348964.378,-0.00043416,0.00263417,-0.00524849,-0.00043084,1743638399999,17279.0,71538.523
2025-04-03,82485.1,83889.2,81172.2,83181.5,239163.519,-0.00043486,0.00066525,-0.00134016,-0.00038338,1743724799999,17277.0,69853.242
2025-04-04,83181.7,84686.2,81624.6,83861.3,353109.206,-4.579e-05,0.00127131,-0.00134124,-0.00028788,1743811199999,17280.0,71579.881
2025-04-05,83861.4,84244.5,82333.8,83506.1,99574.204,-0.00030789,0.00020802,-0.00105409,-0.00038854,1743897599999,17278.0,72830.083
2025-04-06,83506.1,83790.5,77111.0,78390.0,281191.753,-0.00030309,0.0004582,-0.00298149,-0.00044929,1743983999999,17280.0,70789.853
2025-04-07,78390.1,81200.0,74457.0,79140.0,693843.503,-0.00035768,0.00622554,-0.00542487,-0.00031329,1744070399999,17279.0,73134.17
2025-04-08,79140.1,80832.1,78726.5,80002.0,154941.838,-0.00030375,0.00038105,-0.00164486,-0.00058984,1744156799999,10300.0,70877.567
2025-04-09,76298.0,83554.9,74578.5,82588.0,560649.862,-0.00032714,0.00180625,-0.0025365,-0.00028604,1744243199999,17279.0,73341.1
2025-04-10,82587.9,82706.9,81241.1,81447.7,70342.205,-0.0002838,0.00028541,-0.00099075,-0.00028759,1744329599999,6646.0,74632.4
2025-04-11,79560.3,84300.0,78935.5,83378.3,295777.871,-0.00071307,0.00139002,-0.00160487,-0.00043886,1744415999999,17279.0,73550.604
2025-04-12,83378.3,85884.2,82756.0,85237.8,158002.837,-0.00053222,0.00152764,-0.00131548,-0.00048437,1744502399999,17280.0,78186.868
2025-04-13,85237.9,86100.0,84689.5,85150.1,25323.361,-0.00046499,0.00025441,-0.00116173,-0.00040994,1744588799999,2103.0,80937.752
2025-04-14,83713.8,85755.0,83630.9,84553.9,209349.356,-0.00054024,0.0010184,-0.00181582,-0.00034492,1744675199999,17278.0,77524.942
2025-04-15,84553.9,85948.0,84303.0,85815.1,54988.465,-0.0003703,0.00045694,-0.00124776,-0.00058706,1744761599999,6372.0,75818.0
2025-04-16,83608.6,83662.9,83063.9,83375.8,14573.578,-0.00045241,3.502e-05,-0.00093607,-0.00082221,1744847999999,1136.0,77459.184
2025-04-17,83990.1,85441.5,83700.0,84915.0,141033.195,-0.00050236,0.00101829,-0.00125541,-0.00037136,1744934399999,17280.0,76363.667
2025-04-18,84914.9,85100.0,84260.0,84421.0,55218.842,-0.00039676,0.0,-0.00112381,-0.00060296,1745020799999,17280.0,78013.242
2025-04-19,84421.0,85600.0,84317.2,85046.9,73380.566,-0.00060297,-4.12e-06,-0.00201661,-0.00042062,1745107199999,17280.0,76433.622
2025-04-20,85046.9,85283.6,84586.0,84626.5,23281.403,-0.00037028,-0.00020833,-0.00097247,-0.0004679,1745193599999,6194.0,79184.598
2025-04-21,85138.9,87702.3,85100.0,87641.7,96035.608,-0.00051073,0.00116162,-0.00112486,-0.00039117,1745279999999,6525.0,77416.471
